datetime,avg_energy,scheduling,hour,apparentTemperature,humidity,windSpeed
2011-11-26 01:00:00,0.27301666875,1.0,1.0,4.81,0.89,3.17
2011-11-26 02:00:00,0.23745416666666666,1.0,2.0,5.16,0.92,2.9
2011-11-26 03:00:00,0.21660833125000004,1.0,3.0,4.84,0.9,3.2599999999999993
2011-11-26 04:00:00,0.18004166666666666,1.0,4.0,4.88,0.92,3.3799999999999994
2011-11-26 05:00:00,0.18557083333333332,1.0,5.0,4.69,0.92,4.03
2011-11-26 06:00:00,0.2013125,1.0,6.0,4.990000000000001,0.92,4.21
2011-11-26 07:00:00,0.23795416666666666,1.0,7.0,5.09,0.91,4.36
2011-11-26 08:00:00,0.2007916666666667,1.0,8.0,5.57,0.88,4.759999999999999
2011-11-26 09:00:00,0.14754166666666668,1.0,9.0,6.57,0.86,5.37
2011-11-26 10:00:00,0.1898075396825397,1.0,10.0,10.519999999999998,0.82,6.04
2011-11-26 11:00:00,0.2533824404761905,1.0,11.0,11.92,0.75,7.21
2011-11-26 12:00:00,0.1721041666666667,1.0,12.0,12.480000000000002,0.71,7.480000000000001
2011-11-26 13:00:00,0.32136458333333334,1.0,13.0,12.61,0.71,8.15
2011-11-26 14:00:00,0.39250000833333326,1.0,14.0,12.960000000000003,0.7000000000000001,8.31
2011-11-26 15:00:00,0.42706249999999996,1.0,15.0,12.54,0.73,7.47
2011-11-26 16:00:00,0.3643333333333334,1.0,16.0,12.42,0.73,6.88
2011-11-26 17:00:00,0.4143333249999999,1.0,17.0,12.39,0.7400000000000001,6.5
2011-11-26 18:00:00,0.46206250000000004,1.0,18.0,12.01,0.7400000000000001,5.84
2011-11-26 19:00:00,0.4570937489583333,1.0,19.0,11.96,0.75,6.25
2011-11-26 20:00:00,0.5081354166666666,1.0,20.0,12.01,0.77,6.95
2011-11-26 21:00:00,0.42946875,1.0,21.0,11.94,0.75,6.909999999999999
2011-11-26 22:00:00,0.47104166666666664,1.0,22.0,11.93,0.7400000000000001,7.69
2011-11-26 23:00:00,0.4261458333333333,1.0,23.0,11.590000000000002,0.7400000000000001,7.56
2011-11-27 00:00:00,0.35682291458333343,1.0,0.0,11.980000000000002,0.77,7.72
2011-11-27 01:00:00,0.37801041874999997,1.0,1.0,12.08,0.7800000000000001,7.89
2011-11-27 02:00:00,0.3384791645833333,1.0,2.0,12.1,0.83,8.0
2011-11-27 03:00:00,0.24733333333333332,1.0,3.0,12.53,0.84,8.22
2011-11-27 04:00:00,0.27636459166666666,1.0,4.0,12.61,0.85,8.24
2011-11-27 05:00:00,0.31252083541666664,1.0,5.0,13.069999999999999,0.82,8.54
2011-11-27 06:00:00,0.2940833333333333,1.0,6.0,13.210000000000003,0.77,8.81
2011-11-27 07:00:00,0.28480208333333334,1.0,7.0,13.519999999999998,0.7599999999999999,8.49
2011-11-27 08:00:00,0.2626145833333333,1.0,8.0,13.200000000000001,0.83,8.22
2011-11-27 09:00:00,0.29901041666666667,1.0,9.0,13.480000000000002,0.7800000000000001,8.44
2011-11-27 10:00:00,0.33786458333333336,1.0,10.0,13.539999999999997,0.7000000000000001,8.549999999999999
2011-11-27 11:00:00,0.2542291666666667,1.0,11.0,12.730000000000002,0.68,8.590000000000002
2011-11-27 12:00:00,0.21482291666666667,1.0,12.0,13.28,0.5499999999999999,8.090000000000002
2011-11-27 13:00:00,0.23940625000000001,1.0,13.0,12.44,0.52,7.13
2011-11-27 14:00:00,0.27761458541666667,1.0,14.0,12.019999999999998,0.5099999999999999,6.3
2011-11-27 15:00:00,0.3351041677083333,1.0,15.0,11.269999999999998,0.5300000000000001,5.18
2011-11-27 16:00:00,0.32980208333333333,1.0,16.0,10.409999999999998,0.5499999999999999,2.9600000000000004
2011-11-27 17:00:00,0.35678125208333333,1.0,17.0,7.71,0.63,2.6299999999999994
2011-11-27 18:00:00,0.4206041666666666,1.0,18.0,5.920000000000001,0.69,2.83
2011-11-27 19:00:00,0.41350000104166673,1.0,19.0,5.29,0.7000000000000001,2.65
2011-11-27 20:00:00,0.32390625,1.0,20.0,4.38,0.7599999999999999,2.5
2011-11-27 21:00:00,0.29801041666666667,1.0,21.0,4.79,0.75,2.18
2011-11-27 22:00:00,0.3250520833333333,1.0,22.0,3.9200000000000004,0.7800000000000001,1.9399999999999997
2011-11-27 23:00:00,0.34890625000000003,1.0,23.0,2.94,0.83,1.82
2011-11-28 00:00:00,0.24955208333333334,0.0,0.0,3.41,0.88,1.17
2011-11-28 01:00:00,0.2475416666666667,0.0,1.0,2.4600000000000004,0.93,0.7800000000000001
2011-11-28 02:00:00,0.26184375,0.0,2.0,2.23,0.91,0.64
2011-11-28 03:00:00,0.2437083291666667,0.0,3.0,1.6299999999999997,0.9500000000000001,0.91
2011-11-28 04:00:00,0.1995937520833333,0.0,4.0,1.32,0.9699999999999999,1.11
2011-11-28 05:00:00,0.19577083333333334,0.0,5.0,1.3100000000000003,0.9500000000000001,1.0
2011-11-28 06:00:00,0.2576354166666666,0.0,6.0,1.82,0.9500000000000001,0.7999999999999999
2011-11-28 07:00:00,0.2950729166666667,0.0,7.0,1.83,0.9699999999999999,1.0199999999999998
2011-11-28 08:00:00,0.21854166666666666,0.0,8.0,2.84,0.9399999999999998,0.41
2011-11-28 09:00:00,0.18407500000000002,0.0,9.0,4.43,0.9399999999999997,0.44
2011-11-28 10:00:00,0.22290357142857145,0.0,10.0,6.130000000000001,0.8100000000000003,0.46
2011-11-28 11:00:00,0.20125595238095242,0.0,11.0,6.4399999999999995,0.7700000000000001,1.6200000000000006
2011-11-28 12:00:00,0.20675260416666666,0.0,12.0,6.54,0.75,2.6200000000000006
2011-11-28 13:00:00,0.21759375,0.0,13.0,8.04,0.7199999999999999,3.0300000000000002
2011-11-28 14:00:00,0.222125,0.0,14.0,8.04,0.69,3.8099999999999996
2011-11-28 15:00:00,0.19245833333333334,0.0,15.0,7.72,0.71,3.73
2011-11-28 16:00:00,0.20336979166666663,0.0,16.0,7.71,0.7199999999999999,3.6299999999999994
2011-11-28 17:00:00,0.2556744791666667,0.0,17.0,7.28,0.7599999999999999,3.17
2011-11-28 18:00:00,0.31674479270833333,0.0,18.0,7.299999999999999,0.8100000000000003,3.68
2011-11-28 19:00:00,0.42218488958333333,0.0,19.0,10.269999999999998,0.84,4.3500000000000005
2011-11-28 20:00:00,0.41834374895833326,0.0,20.0,11.340000000000002,0.88,4.55
2011-11-28 21:00:00,0.385596353125,0.0,21.0,11.89,0.92,5.06
2011-11-28 22:00:00,0.29664843750000003,0.0,22.0,12.510000000000002,0.91,5.03
2011-11-28 23:00:00,0.21391927083333334,0.0,23.0,12.58,0.9299999999999999,5.259999999999999
2011-11-29 00:00:00,0.25416145833333337,0.0,0.0,12.590000000000002,0.91,5.3999999999999995
2011-11-29 01:00:00,0.19065364583333333,0.0,1.0,13.010000000000002,0.88,5.490000000000001
2011-11-29 02:00:00,0.15238020937500002,0.0,2.0,12.659999999999998,0.9000000000000001,5.6899999999999995
2011-11-29 03:00:00,0.14344270833333334,0.0,3.0,12.950000000000001,0.87,6.049999999999999
2011-11-29 04:00:00,0.15288020833333332,0.0,4.0,12.620000000000001,0.8600000000000001,6.0
2011-11-29 05:00:00,0.15316406249999998,0.0,5.0,12.519999999999998,0.8600000000000001,6.579999999999999
2011-11-29 06:00:00,0.18802083333333333,0.0,6.0,12.120000000000001,0.91,6.86
2011-11-29 07:00:00,0.19495052083333336,0.0,7.0,12.03,0.88,7.39
2011-11-29 08:00:00,0.18210677083333338,0.0,8.0,12.409999999999998,0.8100000000000003,7.659999999999998
2011-11-29 09:00:00,0.13901302083333336,0.0,9.0,12.43,0.8100000000000003,7.8500000000000005
2011-11-29 10:00:00,0.23008593854166667,0.0,10.0,12.549999999999999,0.7999999999999999,8.0
2011-11-29 11:00:00,0.15972395833333333,0.0,11.0,12.92,0.7800000000000001,8.06
2011-11-29 12:00:00,0.15377604166666664,0.0,12.0,13.019999999999998,0.7800000000000001,8.49
2011-11-29 13:00:00,0.20745052187500002,0.0,13.0,13.099999999999998,0.77,9.15
2011-11-29 14:00:00,0.19959375000000001,0.0,14.0,13.47,0.7599999999999999,9.409999999999998
2011-11-29 15:00:00,0.16371354166666668,0.0,15.0,13.0,0.79,9.090000000000002
2011-11-29 16:00:00,0.20377864583333333,0.0,16.0,12.989999999999998,0.84,8.53
2011-11-29 17:00:00,0.2611796875,0.0,17.0,12.39,0.8899999999999999,8.32
2011-11-29 18:00:00,0.2861197916666667,0.0,18.0,11.21,0.7999999999999999,7.700000000000001
2011-11-29 19:00:00,0.368234375,0.0,19.0,6.240000000000001,0.75,7.5
2011-11-29 20:00:00,0.4152734375,0.0,20.0,5.16,0.71,6.53
2011-11-29 21:00:00,0.37165104166666674,0.0,21.0,4.82,0.7199999999999999,5.06
2011-11-29 22:00:00,0.3209921875,0.0,22.0,4.509999999999999,0.7400000000000001,4.3999999999999995
2011-11-29 23:00:00,0.2706328125,0.0,23.0,3.39,0.7999999999999999,4.3
2011-11-30 00:00:00,0.19795052083333334,0.0,0.0,3.48,0.79,4.04
2011-11-30 01:00:00,0.24478125,0.0,1.0,3.34,0.79,4.43
2011-11-30 02:00:00,0.18782552083333334,0.0,2.0,3.5300000000000002,0.79,4.21
2011-11-30 03:00:00,0.15329426979166666,0.0,3.0,3.57,0.79,4.22
2011-11-30 04:00:00,0.1471328125,0.0,4.0,4.240000000000001,0.79,3.9600000000000004
2011-11-30 05:00:00,0.16513802083333334,0.0,5.0,4.05,0.8100000000000003,3.48
2011-11-30 06:00:00,0.203234375,0.0,6.0,4.46,0.7999999999999999,3.25
2011-11-30 07:00:00,0.19226822916666667,0.0,7.0,4.009999999999999,0.8200000000000001,3.420000000000001
2011-11-30 08:00:00,0.19284375,0.0,8.0,4.14,0.8499999999999999,3.3799999999999994
2011-11-30 09:00:00,0.17033593749999998,0.0,9.0,5.369999999999999,0.83,3.5500000000000003
2011-11-30 10:00:00,0.25580989583333336,0.0,10.0,7.43,0.7800000000000001,4.57
2011-11-30 11:00:00,0.15951822916666666,0.0,11.0,11.29,0.7000000000000001,4.95
2011-11-30 12:00:00,0.20306770833333332,0.0,12.0,11.870000000000001,0.6799999999999999,5.06
2011-11-30 13:00:00,0.16837239583333333,0.0,13.0,11.67,0.71,5.259999999999999
2011-11-30 14:00:00,0.2217583333333333,0.0,14.0,11.81,0.7400000000000001,5.41
2011-11-30 15:00:00,0.16562552083333335,0.0,15.0,11.33,0.7199999999999999,4.98
2011-11-30 16:00:00,0.2171171875,0.0,16.0,10.47,0.8200000000000001,4.78
2011-11-30 17:00:00,0.2632630208333333,0.0,17.0,10.519999999999998,0.79,4.75
2011-11-30 18:00:00,0.31736718750000004,0.0,18.0,7.230000000000002,0.8100000000000003,5.009999999999999
2011-11-30 19:00:00,0.344390625,0.0,19.0,7.1000000000000005,0.79,5.420000000000001
2011-11-30 20:00:00,0.35009375,0.0,20.0,7.28,0.75,5.18
2011-11-30 21:00:00,0.33491146041666664,0.0,21.0,10.31,0.7199999999999999,5.78
2011-11-30 22:00:00,0.2454140625,0.0,22.0,10.340000000000002,0.77,6.18
2011-11-30 23:00:00,0.22389583333333332,0.0,23.0,10.65,0.7800000000000001,6.75
2011-12-01 00:00:00,0.21680729270833335,0.0,0.0,6.23,0.91,6.97
2011-12-01 01:00:00,0.193872396875,0.0,1.0,10.38,0.92,7.6499999999999995
2011-12-01 02:00:00,0.1843463541666667,0.0,2.0,11.43,0.9000000000000001,8.04
2011-12-01 03:00:00,0.158864584375,0.0,3.0,11.54,0.8499999999999999,7.5
2011-12-01 04:00:00,0.1518984375,0.0,4.0,11.480000000000002,0.7999999999999999,6.43
2011-12-01 05:00:00,0.16532552083333332,0.0,5.0,11.510000000000002,0.7999999999999999,6.07
2011-12-01 06:00:00,0.197453125,0.0,6.0,11.54,0.8200000000000001,5.82
2011-12-01 07:00:00,0.20060416562500002,0.0,7.0,12.150000000000002,0.8100000000000003,4.8999999999999995
2011-12-01 08:00:00,0.195859375,0.0,8.0,11.450000000000001,0.8600000000000001,4.69
2011-12-01 09:00:00,0.21178703703703705,0.0,9.0,11.159999999999998,0.8499999999999999,4.13
2011-12-01 10:00:00,0.18929166666666666,0.0,10.0,10.82,0.83,3.5900000000000003
2011-12-01 11:00:00,0.14617592592592593,0.0,11.0,11.28,0.69,3.75
2011-12-01 12:00:00,0.16626388888888888,0.0,12.0,11.230000000000002,0.61,3.2800000000000002
