Năm,Giờ,Ttb,thứ,Tháng,Ngày,Tmin,Tmax,Lm,Angay_hc,Angay_hc,,,Pmax_hc,Amax_hc,Ptb,Atb,Pmax,Amax,A/2,Pmax,"Train, Valid, Test",,,,,,,,,,,
2017,11,19.0,3,2,7,11.3,30.3,0.01,111814,111814,,,11851,111814,2306.61,1793.73,5381.2,2690.60,2690.60,4692.5,,,,,,,,,,,,
2017,10,21.0,4,2,8,13.8,31.5,0.01,83112,83112,,,5976,83112,2052.73,1689.60,5068.8,2534.40,2534.40,4298.0,,,,,,,,,,,,
2017,15,21.3,5,2,9,15.1,30.0,0.01,120783,120783,,,9953,120783,1798.85,1585.47,4756.4,2378.20,2378.20,3892.7,,,,,,,,,,,,
2017,11,21.7,6,2,10,16.1,28.7,0.01,153357,153357,,,9899,153357,3190.05,1447.27,4341.8,2170.90,2170.90,3556.4,,,,,,,,,,,,
2017,10,21.3,7,2,11,16.6,25.7,0.01,128594,128594,,,8648,128594,2752.91,1304.73,3914.2,1957.10,1957.10,3288.1,,,,,,,,,,,,
2017,10,21.2,8,2,12,17.9,26.2,0.01,118862,118862,,,8184,118862,2245.52,1136.23,3408.7,1704.35,1704.35,3068.2,,,,,,,,,,,,
2017,11,21.0,2,2,13,17.9,27.2,0.01,110586,110586,,,7790,110586,2049.71,1014.20,3042.6,1521.30,1521.30,2962.2,,,,,,,,,,,,
2017,10,20.7,3,2,14,15.4,26.7,0.01,108248,108248,,,7715,108248,2007.47,1024.83,3074.5,1537.25,1537.25,2940.4,,,,,,,,,,,,
2017,9,21.1,4,2,15,19.0,25.7,0.01,106212,106212,,,7202,106212,1998.53,1000.10,3000.3,1500.15,1500.15,2916.9,,,,,,,,,,,,
2017,11,19.7,5,2,16,12.1,28.5,0.01,104634,104634,,,7593,104634,1941.73,938.23,2814.7,1407.35,1407.35,2919.7,,,,,,,,,,,,
2017,10,20.3,6,2,17,13.3,28.5,0.01,115580,115580,,,7645,115580,1979.71,959.57,2878.7,1439.35,1439.35,3006.5,,,,,,,,,,,,
2017,10,21.4,7,2,18,15.4,29.8,0.01,117393,117393,,,7648,117393,2022.77,977.93,2933.8,1466.90,1466.90,3140.9,,,,,,,,,,,,
2017,10,20.9,8,2,19,13.6,30.3,0.01,101998,101998,,,7007,101998,2023.95,985.60,2956.8,1478.40,1478.40,3301.9,,,,,,,,,,,,
2017,11,22.4,2,2,20,16.1,30.4,0.01,119152,119152,,,7895,119152,2118.99,1004.80,3014.4,1507.20,1507.20,3504.6,,,,,,,,,,,,
2017,11,24.6,3,2,21,20.0,32.3,0.01,124184,124184,,,8332,124184,2379.15,1082.90,3248.7,1624.35,1624.35,3697.2,,,,,,,,,,,,
2017,16,25.3,4,2,22,20.1,32.3,0.01,138300,138300,,,8254,138300,2682.59,1183.57,3550.7,1775.35,1775.35,3837.2,,,,,,,,,,,,
2017,17,25.0,5,2,23,19.9,33.3,0.01,127993,127993,,,8524,127993,2742.75,1246.30,3738.9,1869.45,1869.45,3846.4,,,,,,,,,,,,
2017,10,23.8,6,2,24,17.1,31.3,0.01,143422,143422,,,8762,143422,2896.16,1323.50,3970.5,1985.25,1985.25,4258.6,,,,,,,,,,,,
2017,11,23.6,7,2,25,19.1,30.7,0.01,141271,141271,,,9425,141271,2930.21,1325.67,3977.0,1988.50,1988.50,4355.9,,,,,,,,,,,,
2017,10,22.3,8,2,26,18.1,29.0,0.01,135353,135353,,,9034,135353,2868.99,1316.27,3948.8,1974.40,1974.40,4401.9,,,,,,,,,,,,
2017,10,22.5,2,2,27,18.4,28.8,0.01,140637,140637,,,8921,140637,2869.07,1198.93,3596.8,1798.40,1798.40,4480.8,,,,,,,,,,,,
2017,10,22.7,3,2,28,19.8,28.4,0.01,152287,152287,,,11081,152287,3664.91,1933.23,5799.7,2899.85,2899.85,4628.8,,,,,,,,,,,,
2017,11,21.4,4,3,1,17.4,27.0,0.01,140451,140451,,,10586,140451,3160.91,1485.67,4457.0,2228.50,2228.50,4316.2,,,,,,,,,,,,
2017,11,22.0,5,3,2,17.8,28.3,0.01,139469,139469,,,9648,139469,3121.12,1402.47,4207.4,2103.70,2103.70,4287.5,,,,,,,,,,,,
2017,11,20.7,6,3,3,12.5,30.0,0.01,143989,143989,,,9677,143989,3217.33,1447.70,4343.1,2171.55,2171.55,4349.7,,,,,,,,,,,,
2017,16,20.8,7,3,4,12.2,32.1,0.01,138813,138813,,,9251,138813,3220.80,1445.57,4336.7,2168.35,2168.35,4239.6,,,,,,,,,,,,
2017,10,21.4,8,3,5,13.6,31.7,0.01,141131,141131,,,9587,141131,3170.24,1412.27,4236.8,2118.40,2118.40,4210.2,,,,,,,,,,,,
2017,10,22.8,2,3,6,15.2,33.3,0.01,145314,145314,,,9272,145314,3229.04,1437.87,4313.6,2156.80,2156.80,4167.9,,,,,,,,,,,,
2017,11,22.0,3,3,7,14.9,32.2,0.01,127070,127070,,,9364,127070,3211.31,1506.13,4518.4,2259.20,2259.20,4122.9,,,,,,,,,,,,
2017,9,21.8,4,3,8,14.5,31.5,0.01,113620,113620,,,8312,113620,2965.97,1264.23,3792.7,1896.35,1896.35,3924.8,,,,,,,,,,,,
