datetime,energy(kWh/hh),scheduling,hour,acorn,apparentTemperature,humidity,windSpeed
2012-05-08 10:00:00,0.34,0,10,4.00,13.27,0.83,3.07
2012-05-08 11:00:00,0.20,0,11,4.00,14.11,0.77,3.02
2012-05-08 12:00:00,0.27,0,12,4.00,14.33,0.76,2.98
2012-05-08 13:00:00,0.16,0,13,4.00,15.28,0.75,2.81
2012-05-08 14:00:00,0.18,0,14,4.00,16.67,0.69,3.37
2012-05-08 15:00:00,0.08,0,15,4.00,17.20,0.65,3.72
2012-05-08 16:00:00,0.57,0,16,4.00,17.24,0.61,4.29
2012-05-08 17:00:00,0.22,0,17,4.00,16.89,0.62,4.00
2012-05-08 18:00:00,1.28,0,18,4.00,16.31,0.63,4.22
2012-05-08 19:00:00,0.32,0,19,4.00,15.08,0.71,3.96
2012-05-08 20:00:00,0.79,0,20,4.00,14.06,0.76,3.14
2012-05-08 21:00:00,0.43,0,21,4.00,13.50,0.79,2.89
2012-05-08 22:00:00,0.16,0,22,4.00,12.91,0.78,2.23
2012-05-08 23:00:00,0.20,0,23,4.00,12.74,0.80,2.11
2012-05-09 00:00:00,0.13,0,0,4.00,11.46,0.92,2.35
2012-05-09 01:00:00,0.14,0,1,4.00,11.38,0.92,2.15
2012-05-09 02:00:00,0.18,0,2,4.00,11.38,0.93,1.84
2012-05-09 03:00:00,0.41,0,3,4.00,10.86,0.95,1.22
2012-05-09 04:00:00,0.22,0,4,4.00,10.78,0.95,0.30
2012-05-09 05:00:00,0.22,0,5,4.00,10.80,0.96,0.79
2012-05-09 06:00:00,1.69,0,6,4.00,10.78,0.96,0.50
2012-05-09 07:00:00,0.76,0,7,4.00,10.96,0.96,0.80
2012-05-09 08:00:00,0.21,0,8,4.00,11.61,0.96,0.99
2012-05-09 09:00:00,0.23,0,9,4.00,12.23,0.96,2.17
2012-05-09 10:00:00,0.24,0,10,4.00,13.78,0.91,3.46
2012-05-09 11:00:00,0.21,0,11,4.00,14.67,0.88,4.39
2012-05-09 12:00:00,0.17,0,12,4.00,15.18,0.86,5.09
2012-05-09 13:00:00,0.31,0,13,4.00,15.11,0.87,5.30
2012-05-09 14:00:00,0.11,0,14,4.00,15.18,0.88,5.38
2012-05-09 15:00:00,0.15,0,15,4.00,14.43,0.95,5.36
2012-05-09 16:00:00,1.88,0,16,4.00,14.88,0.92,5.36
2012-05-09 17:00:00,0.34,0,17,4.00,14.93,0.89,5.42
2012-05-09 18:00:00,1.56,0,18,4.00,14.89,0.87,4.98
2012-05-09 19:00:00,2.42,0,19,4.00,14.63,0.89,4.39
2012-05-09 20:00:00,0.76,0,20,4.00,14.27,0.93,4.16
2012-05-09 21:00:00,0.97,0,21,4.00,14.34,0.93,4.47
2012-05-09 22:00:00,0.18,0,22,4.00,14.32,0.93,4.20
2012-05-09 23:00:00,0.14,0,23,4.00,14.44,0.93,4.70
2012-05-10 00:00:00,0.49,0,0,4.00,14.95,0.95,6.20
2012-05-10 01:00:00,0.18,0,1,4.00,15.04,0.95,7.36
2012-05-10 02:00:00,0.14,0,2,4.00,15.38,0.93,7.42
2012-05-10 03:00:00,0.22,0,3,4.00,15.37,0.93,7.14
2012-05-10 04:00:00,0.17,0,4,4.00,14.94,0.95,6.84
2012-05-10 05:00:00,0.14,0,5,4.00,14.89,0.93,6.57
2012-05-10 06:00:00,0.93,0,6,4.00,14.78,0.94,6.77
2012-05-10 07:00:00,1.25,0,7,4.00,14.92,0.93,7.05
2012-05-10 08:00:00,0.23,0,8,4.00,15.81,0.90,6.77
2012-05-10 09:00:00,0.29,0,9,4.00,16.38,0.85,6.68
2012-05-10 10:00:00,0.27,0,10,4.00,16.87,0.82,7.16
2012-05-10 11:00:00,0.15,0,11,4.00,16.58,0.83,6.97
2012-05-10 12:00:00,0.13,0,12,4.00,17.12,0.84,6.77
2012-05-10 13:00:00,0.25,0,13,4.00,16.89,0.85,6.29
2012-05-10 14:00:00,0.11,0,14,4.00,16.28,0.89,5.66
2012-05-10 15:00:00,0.14,0,15,4.00,15.57,0.93,6.27
2012-05-10 16:00:00,0.45,0,16,4.00,15.98,0.90,6.40
2012-05-10 17:00:00,0.17,0,17,4.00,15.92,0.90,7.28
2012-05-10 18:00:00,0.81,0,18,4.00,15.82,0.88,7.57
2012-05-10 19:00:00,0.42,0,19,4.00,15.27,0.90,7.30
2012-05-10 20:00:00,1.12,0,20,4.00,15.19,0.88,6.85
2012-05-10 21:00:00,0.43,0,21,4.00,14.81,0.90,6.21
2012-05-10 22:00:00,0.61,0,22,4.00,14.62,0.88,5.93
2012-05-10 23:00:00,0.51,0,23,4.00,14.22,0.88,6.00
2012-05-11 00:00:00,0.21,0,0,4.00,13.83,0.86,6.69
2012-05-11 01:00:00,0.37,0,1,4.00,13.53,0.81,6.80
2012-05-11 02:00:00,0.35,0,2,4.00,12.99,0.82,6.25
2012-05-11 03:00:00,0.14,0,3,4.00,12.53,0.83,5.74
2012-05-11 04:00:00,0.15,0,4,4.00,12.37,0.83,5.63
2012-05-11 05:00:00,0.11,0,5,4.00,11.47,0.73,5.42
2012-05-11 06:00:00,0.18,0,6,4.00,11.52,0.72,6.08
2012-05-11 07:00:00,0.20,0,7,4.00,12.07,0.71,6.86
2012-05-11 08:00:00,0.17,0,8,4.00,12.23,0.69,6.96
2012-05-11 09:00:00,0.94,0,9,4.00,13.14,0.66,6.38
2012-05-11 10:00:00,0.35,0,10,4.00,13.71,0.61,6.43
2012-05-11 11:00:00,1.16,0,11,4.00,14.16,0.57,6.68
